"https://www.artic.edu/iiif/2/a28e4e8f-f072-092a-52f9-b165c97c7a0a/full/600,/0/default.jpg",Title,Year,Title_URL,Image,Artist,Decade
26,"Brushstroke with Spatter, 1966",1966,https://www.artic.edu/artworks/24836/brushstroke-with-spatter,"https://www.artic.edu/iiif/2/f8dbda50-a10b-d0ff-a35c-24c2f9e733f1/full/600,/0/default.jpg",Roy Lichtenstein,1960
27,"The First Part of the Return from Parnassus, 1961",1961,https://www.artic.edu/artworks/186049/the-first-part-of-the-return-from-parnassus,"https://www.artic.edu/iiif/2/bcd6b69a-80f4-6f89-d8cd-817237f8fe7e/full/600,/0/default.jpg",Cy Twombly,1960
28,"The Titanic, 1978",1978,https://www.artic.edu/artworks/102963/the-titanic,"https://www.artic.edu/iiif/2/03cdd6a7-a043-2ac8-3de0-addd99c0ff88/full/600,/0/default.jpg",Stanley Tigerman,1970
29,"Caribs’ Leap/Western Deep, 2002",2002,https://www.artic.edu/artworks/181091/caribs-leap-western-deep,"https://www.artic.edu/iiif/2/a52c0c03-9668-ae2b-d780-dc928a9d16c1/full/600,/0/default.jpg",Steve McQueen,2000
30,"Red Yellow Blue White and Black II, 1953",1953,https://www.artic.edu/artworks/157156/red-yellow-blue-white-and-black-ii,"https://www.artic.edu/iiif/2/8b12267b-6fde-3424-281a-0cb74bb7e36a/full/600,/0/default.jpg",Ellsworth Kelly,1950
31,"Couple in Bed, 1977",1977,https://www.artic.edu/artworks/90583/couple-in-bed,"https://www.artic.edu/iiif/2/6884e725-f7ae-cb1c-853a-201fc4fe5630/full/600,/0/default.jpg",Philip Guston,1970
32,"Untitled, 1989",1989,https://www.artic.edu/artworks/192689/untitled,"https://www.artic.edu/iiif/2/418bed75-447e-781d-69f2-c21b1149a740/full/600,/0/default.jpg",Robert Gober,1980
33,"Golden Wings Brushing the Clouds Incarnated from Earthly Wide Star (Chikatsusei Maunkinshi), 1960",1960,https://www.artic.edu/artworks/220272/golden-wings-brushing-the-clouds-incarnated-from-earthly-wide-star-chikatsusei-maunkinshi,"https://www.artic.edu/iiif/2/6975aec8-1d8b-707d-5250-f329dc2210b6/full/600,/0/default.jpg",Kazuo Shiraga,1960
34,"Liz #3 [Early Colored Liz], 1963",1972,https://www.artic.edu/artworks/229406/liz-3-early-colored-liz,"https://www.artic.edu/iiif/2/362c0c2a-4576-2207-4ba9-2b87e6d0bad0/full/600,/0/default.jpg",Andy Warhol,1960
35,"Two Women’s Torsos, 1952",1952,https://www.artic.edu/artworks/83889/two-women-s-torsos,"https://www.artic.edu/iiif/2/25d605a9-0bbe-1e67-23e5-7669181908ed/full/600,/0/default.jpg",Willem de Kooning,1950
36,"“Untitled”, 1989",1989,https://www.artic.edu/artworks/159824/untitled,"https://www.artic.edu/iiif/2/70cb3a8f-fe14-d63f-fabb-4b52de48d02e/full/600,/0/default.jpg",Felix Gonzalez-Torres,1980
37,"Near the Lagoon, 2002",2002,https://www.artic.edu/artworks/184095/near-the-lagoon,"https://www.artic.edu/iiif/2/33d88a25-ec24-9913-9dd0-8a4df25ecc85/full/600,/0/default.jpg",Jasper Johns,2000
38,"Mirror #3 (Six Panels), 1971",1972,https://www.artic.edu/artworks/184362/mirror-3-six-panels,"https://www.artic.edu/iiif/2/4f3baaee-14ea-81e0-6252-447ab15a9b1d/full/600,/0/default.jpg",Roy Lichtenstein,1970
39,"TAKEN FROM HERE TO WHERE IT CAME FROM AND TAKEN TO A PLACE AND USED IN SUCH A MANNER THAT IT CAN ONLY REMAIN AS A REPRESENTATION OF WHAT IT WAS WHERE IT CAME FROM, 1980",1980,https://www.artic.edu/artworks/107069/taken-from-here-to-where-it-came-from-and-taken-to-a-place-and-used-in-such-a-manner-that-it-can-only-remain-as-a-representation-of-what-it-was-where-it-came-from,"https://www.artic.edu/iiif/2/3ed898c9-f372-e4b7-7523-1e4cefd11819/full/600,/0/default.jpg",Lawrence Weiner,1980
40,"Night Sky #2, 1991",1972,https://www.artic.edu/artworks/140645/night-sky-2,"https://www.artic.edu/iiif/2/7d9c811b-daf8-9ef8-d572-724e349f1a15/full/600,/0/default.jpg",Vija Celmins,1990
41,"Two Ladies at the Automat (New York City), 1966, printed 1977",1972,https://www.artic.edu/artworks/63234/two-ladies-at-the-automat-new-york-city,"https://www.artic.edu/iiif/2/576810d3-28ad-c72d-08a1-151dd37aa359/full/600,/0/default.jpg",Diane Arbus,1960
42,"The Ballad of Sexual Dependency, 1979/2001",1972,https://www.artic.edu/artworks/187155/the-ballad-of-sexual-dependency,"https://www.artic.edu/iiif/2/8289fdd0-d32d-bfa3-d319-14cd46ab4ad0/full/600,/0/default.jpg",Nan Goldin,1970
43,"Chalk-Mirror Displacement, 1969",1969,https://www.artic.edu/artworks/93345/chalk-mirror-displacement,"https://www.artic.edu/iiif/2/17c21125-a849-a0dc-5957-b01ff3b8c945/full/600,/0/default.jpg",Robert Smithson,1960
44,"Monk (Mönch), 1997/99",1972,https://www.artic.edu/artworks/154232/monk-monch,"https://www.artic.edu/iiif/2/8f0295ca-670e-aa1f-b30f-801bb8d15885/full/600,/0/default.jpg",Katharina Fritsch,1990
45,"Tanktotem I, 1952",1952,https://www.artic.edu/artworks/79379/tanktotem-i,"https://www.artic.edu/iiif/2/8a30f020-40ac-58a6-3358-0b0098db7807/full/600,/0/default.jpg",David Smith,1950
46,"Untitled, 1958",1958,https://www.artic.edu/artworks/146991/untitled,"https://www.artic.edu/iiif/2/ba0756fd-837e-224d-1711-f6486ed2335d/full/600,/0/default.jpg",Clyfford Still,1950
47,"Art Institute of Chicago II, Chicago, 1990",1990,https://www.artic.edu/artworks/117271/art-institute-of-chicago-ii-chicago,"https://www.artic.edu/iiif/2/bc03f8ff-68ed-b6d4-7e5f-edc26dc80c88/full/600,/0/default.jpg",Thomas Struth,1990
48,"Juan Soriano De Lacandón, 1964",1964,https://www.artic.edu/artworks/118661/juan-soriano-de-lacandon,"https://www.artic.edu/iiif/2/b59b290e-1ea6-dc37-4c86-1a16c948bfed/full/600,/0/default.jpg",Leonora Carrington,1960
49,"Rodeo, 1971",1971,https://www.artic.edu/artworks/146988/rodeo,"https://www.artic.edu/iiif/2/4e932800-6c02-5dce-d47c-42f70aa06ce1/full/600,/0/default.jpg",Brice Marden,1970
50,"Candida and Her Mother, Celia, II, 1994",1994,https://www.artic.edu/artworks/160201/candida-and-her-mother-celia-ii,"https://www.artic.edu/iiif/2/5a129642-4a4c-f567-4658-7640fe75fcda/full/600,/0/default.jpg",Dawoud Bey,1990
51,"Corallo Chair, 2006",2006,https://www.artic.edu/artworks/188845/corallo-chair,"https://www.artic.edu/iiif/2/43051d12-64db-d7f1-e885-af68b9b910b1/full/600,/0/default.jpg",Campana Brothers,2000
52,"Black and White, 1953",1953,https://www.artic.edu/artworks/131385/black-and-white,"https://www.artic.edu/iiif/2/37ad4127-7ede-99cc-b55a-9e5cac2b6461/full/600,/0/default.jpg",Lee Krasner,1950
53,"Untitled #12, 1977",1972,https://www.artic.edu/artworks/89403/untitled-12,"https://www.artic.edu/iiif/2/5e5f226d-ca7b-b75f-3679-83ecf82d2983/full/600,/0/default.jpg",Agnes Martin,1970
54,"Perilous Night, 1982",1982,https://www.artic.edu/artworks/90300/perilous-night,"https://www.artic.edu/iiif/2/609e7646-5095-8545-85ec-9209f534740b/full/600,/0/default.jpg",Jasper Johns,1980
55,"Watchtower with Geese (Hochsitz mit Gänsen), 1987/88",1972,https://www.artic.edu/artworks/76054/watchtower-with-geese-hochsitz-mit-gansen,"https://www.artic.edu/iiif/2/f415c92c-9a6f-a87c-33f1-e15e62c3a56a/full/600,/0/default.jpg",Sigmar Polke,1980
56,"Explosion at Sea, 1966",1966,https://www.artic.edu/artworks/146905/explosion-at-sea,"https://www.artic.edu/iiif/2/99956788-7a7d-2133-f2c0-7648593395cc/full/600,/0/default.jpg",Vija Celmins,1960
57,"Minnie, 1974",1974,https://www.artic.edu/artworks/97402/minnie,"https://www.artic.edu/iiif/2/b4adaaf1-81ec-755d-a5df-15c85b63a86c/full/600,/0/default.jpg",Ed Paschke,1970
58,"The Night is Stirring (La nuit remue), 1956",1956,https://www.artic.edu/artworks/15563/the-night-is-stirring-la-nuit-remue,"https://www.artic.edu/iiif/2/0f07eb70-3818-676a-c047-b1672d0a8277/full/600,/0/default.jpg",Wou-Ki Zao,1950
59,"Woodman (Waldarbeiter), 1969",1969,https://www.artic.edu/artworks/68823/woodman-waldarbeiter,"https://www.artic.edu/iiif/2/08c08840-0299-48a8-d572-6cea637e531e/full/600,/0/default.jpg",Georg Baselitz,1960
60,"Albino, 1986",1986,https://www.artic.edu/artworks/160222/albino,"https://www.artic.edu/iiif/2/6158570b-9aa3-c570-209e-f2e1e54e960a/full/600,/0/default.jpg",Marlene Dumas,1980
61,"Landscape, 2002",2002,https://www.artic.edu/artworks/183277/landscape,"https://www.artic.edu/iiif/2/50852816-dfa8-ed7d-8f03-e5ce8aab166d/full/600,/0/default.jpg",Li Huayi,2000
62,"In Memory of My Father, 1976",1976,https://www.artic.edu/artworks/199002/in-memory-of-my-father,"https://www.artic.edu/iiif/2/a947ecd5-93aa-93d4-4a4d-3aca15a30857/full/600,/0/default.jpg",Sylvia Plimack Mangold,1970
63,"Lever #1, 1988/89",1972,https://www.artic.edu/artworks/90443/lever-1,"https://www.artic.edu/iiif/2/53aa98dd-4a2d-e406-f821-843a85c833d6/full/600,/0/default.jpg",Martin Puryear,1980
64,"Sur, Long Island City, New York, 2005",2005,https://www.artic.edu/artworks/188540/sur-long-island-city-new-york,"https://www.artic.edu/iiif/2/b4e0002f-8e04-7517-78a5-87329f6e5142/full/600,/0/default.jpg",Hernán Díaz Alonso,2000
65,"Dead Fish, Salton Sea, from the series “Desert Cantos III: The Flood”, 1983, printed 2006",1972,https://www.artic.edu/artworks/191454/dead-fish-salton-sea-from-the-series-desert-cantos-iii-the-flood,"https://www.artic.edu/iiif/2/70cc5210-4692-0a89-9998-e6a3a8030018/full/600,/0/default.jpg",Richard Misrach,1980
66,"Khee II, 1978",1978,https://www.artic.edu/artworks/218612/khee-ii,"https://www.artic.edu/iiif/2/a49b6d1a-2f9a-a05d-0c26-3b8c779c78ef/full/600,/0/default.jpg",Jack Whitten,1970
67,"Fourth of July, Jay, New York, 1954",1954,https://www.artic.edu/artworks/87163/fourth-of-july-jay-new-york,"https://www.artic.edu/iiif/2/b6df9e9b-d58e-0ad9-a57e-07d76cec0ccf/full/600,/0/default.jpg",Robert Frank,1950
68,"Miss E. Knows, 1967",1967,https://www.artic.edu/artworks/35198/miss-e-knows,"https://www.artic.edu/iiif/2/9899a234-117e-6463-de7e-d224e9f48ae1/full/600,/0/default.jpg",Jim Nutt,1960
69,"Oonagh MacCumhail: The Case of the Entered Novitiate, 2002",2002,https://www.artic.edu/artworks/181774/oonagh-maccumhail-the-case-of-the-entered-novitiate,"https://www.artic.edu/iiif/2/cce3cbeb-be6f-336f-dd2f-2845d4754d1e/full/600,/0/default.jpg",Matthew Barney,2000
70,"Untitled, c. 1955",1955,https://www.artic.edu/artworks/229354/untitled,"https://www.artic.edu/iiif/2/ec212e04-fd5a-1c3b-bef0-13bffa607e73/full/600,/0/default.jpg",Robert Rauschenberg,1950
71,"Waters Above the Firmament, 1976",1976,https://www.artic.edu/artworks/109686/waters-above-the-firmament,"https://www.artic.edu/iiif/2/12fdb0f7-23b2-7af8-7058-db75f976f15f/full/600,/0/default.jpg",Lenore Tawney,1970
72,"Untitled #88, 1981",1972,https://www.artic.edu/artworks/110634/untitled-88,"https://www.artic.edu/iiif/2/1f4316b2-404c-d69b-1b6b-10cda16754a7/full/600,/0/default.jpg",Cindy Sherman,1980
73,"Monogram, 1984",1984,https://www.artic.edu/artworks/187165/monogram,"https://www.artic.edu/iiif/2/0077e720-e084-3059-4f10-237c95305829/full/600,/0/default.jpg",Louise Lawler,1980
74,"Involvement Series, 1968",1968,https://www.artic.edu/artworks/234433/involvement-series,"https://www.artic.edu/iiif/2/0f6ffedf-d080-9528-9543-31087899ce57/full/600,/0/default.jpg",Wanda Pimentel,1960
75,"Honey-Pop, 2001",2001,https://www.artic.edu/artworks/191197/honey-pop,"https://www.artic.edu/iiif/2/23532e59-f154-79a9-4a3d-484eb7d476ac/full/600,/0/default.jpg",Tokujin Yoshioka,2000
76,"Delphine, 1999",1999,https://www.artic.edu/artworks/184193/delphine,"https://www.artic.edu/iiif/2/f7fc4517-71b2-8c45-aaa6-32642345063e/full/600,/0/default.jpg",Diana Thater,1990
77,"Finnish Painting, 2015",2015,https://www.artic.edu/artworks/229866/finnish-painting,"https://www.artic.edu/iiif/2/8689cd14-1ddb-4d6e-b7fb-f5e0918e9408/full/600,/0/default.jpg",Pope.L,2010
78,"River City, Aerial Perspective, 1979",1979,https://www.artic.edu/artworks/190224/river-city-aerial-perspective,"https://www.artic.edu/iiif/2/c0b8ab46-7111-d8a4-79e6-dcdd22bd034a/full/600,/0/default.jpg",Bertrand Goldberg,1970
79,"The Long Road to Mazatlán, 1999",1999,https://www.artic.edu/artworks/184186/the-long-road-to-mazatlan,"https://www.artic.edu/iiif/2/d8ef4d0a-eafe-383d-69c9-4b041ba60899/full/600,/0/default.jpg",Isaac Julien,1990
80,"Bloom, 1989",1989,https://www.artic.edu/artworks/189932/bloom,"https://www.artic.edu/iiif/2/1dfb3e9b-09ad-5d87-f53c-dba52c1f5aee/full/600,/0/default.jpg",Julia Fish,1980
81,"Celestial Chaos No. 1, 2014",1972,https://www.artic.edu/artworks/230189/celestial-chaos-no-1,"https://www.artic.edu/iiif/2/fd6deeb9-6d01-3849-17d5-a7cbf89f8e3f/full/600,/0/default.jpg",Tai Xiangzhou,2010
82,"Bottle Rack (Porte-Bouteilles), 1914/1959",1972,https://www.artic.edu/artworks/238749/bottle-rack-porte-bouteilles,"https://www.artic.edu/iiif/2/aaf32d95-6c4f-9024-b536-f22a801f2f51/full/600,/0/default.jpg",Marcel Duchamp,1910
83,"A Siren Beside a Ship, 2014",2014,https://www.artic.edu/artworks/225016/a-siren-beside-a-ship,"https://www.artic.edu/iiif/2/5fc89305-7b02-ef42-d93b-5fd55d073ce9/full/600,/0/default.jpg",Mark Bradford,2010
84,"Near Jackson, Mississippi, c. 1970, printed 2002",1972,https://www.artic.edu/artworks/188844/near-jackson-mississippi,"https://www.artic.edu/iiif/2/e75f3120-2fb0-826b-e922-a51b41e96027/full/600,/0/default.jpg",William Eggleston,1970
85,"Urns (Set of 8), 1999",1999,https://www.artic.edu/artworks/182728/urns-set-of-8,"https://www.artic.edu/iiif/2/63dc0a5b-f8e1-6e97-7c41-78443dbeb4e3/full/600,/0/default.jpg",Thomas Schütte,1990
86,"Untitled, 1976",1976,https://www.artic.edu/artworks/191371/untitled,"https://www.artic.edu/iiif/2/41d9b65a-6649-28e6-19d9-c16ef27df8f1/full/600,/0/default.jpg",Donald Judd,1970
87,"AC10, 1984",1972,https://www.artic.edu/artworks/229510/ac10,"https://www.artic.edu/iiif/2/df1620f2-8309-d1aa-1914-50cb737b662f/full/600,/0/default.jpg",Wei Zhang,1980
88,"Wall Drawing #821: A black square divided horizontally and vertically into four equal parts, each with a different direction of alternating flat and glossy bands, 1997",1972,https://www.artic.edu/artworks/186392/wall-drawing-821-a-black-square-divided-horizontally-and-vertically-into-four-equal-parts-each-with-a-different-direction-of-alternating-flat-and-glossy-bands,"https://www.artic.edu/iiif/2/54c3c09b-c794-111f-88da-6e122e80dc45/full/600,/0/default.jpg",Sol LeWitt,1990
89,"We Must Bear, 2014",2014,https://www.artic.edu/artworks/221885/we-must-bear,"https://www.artic.edu/iiif/2/13db76d2-eed8-8514-e547-9c9af3fb1121/full/600,/0/default.jpg",Nilima Sheikh,2010
90,"Male-Female Figure with Pomegranate, 1968",1968,https://www.artic.edu/artworks/227420/male-female-figure-with-pomegranate,"https://www.artic.edu/iiif/2/c64c4cc8-ca3a-c22e-0bbd-5ac3a26d8c0f/full/600,/0/default.jpg",Ibrahim El-Salahi,1960
91,"Untitled, 1965",1965,https://www.artic.edu/artworks/223309/untitled,"https://www.artic.edu/iiif/2/9f380d1c-11ec-0611-5fca-1e7cff5b92b7/full/600,/0/default.jpg",Saitō Yoshishige,1960
92,"Untitled 72–12–A, 1972",1972,https://www.artic.edu/artworks/234004/untitled-72-12-a,"https://www.artic.edu/iiif/2/86f8596f-6fc2-5f28-dc26-8526b5da2290/full/600,/0/default.jpg","Chung, Sang-Hwa",1970
93,"“Untitled” (Portrait of Ross in L.A.), 1991",1991,https://www.artic.edu/artworks/152961/untitled-portrait-of-ross-in-l-a,"https://www.artic.edu/iiif/2/9036870e-9ec4-19ab-3d73-3cbf79c1af8b/full/600,/0/default.jpg",Felix Gonzalez-Torres,1990
94,"Woman in Tub, 1988",1988,https://www.artic.edu/artworks/186545/woman-in-tub,"https://www.artic.edu/iiif/2/7adbb869-6195-75c8-14da-c06a9ccd3700/full/600,/0/default.jpg",Jeff Koons,1980
95,"Identical Twins, Roselle, N.J., 1966",1966,https://www.artic.edu/artworks/67958/identical-twins-roselle-n-j,"https://www.artic.edu/iiif/2/3c829820-a768-88d4-e18a-9faeb677a681/full/600,/0/default.jpg",Diane Arbus,1960
96,"Untitled, 1955",1955,https://www.artic.edu/artworks/2886/untitled,"https://www.artic.edu/iiif/2/ef5e5f48-a5a4-af66-114e-17b34773911d/full/600,/0/default.jpg",Kurt Seligmann,1950
97,"The Annunciation, 1957/59",1972,https://www.artic.edu/artworks/146906/the-annunciation,"https://www.artic.edu/iiif/2/512baa0a-e1e5-f745-f6ea-f603f55446c6/full/600,/0/default.jpg",Jay DeFeo,1950
98,"The Banquet, 1958",1958,https://www.artic.edu/artworks/118718/the-banquet,"https://www.artic.edu/iiif/2/d2c459c3-c6cf-551b-fd27-5a2854b9fa81/full/600,/0/default.jpg",René Magritte,1950
99,"The Golden Wall, 1961",1961,https://www.artic.edu/artworks/15156/the-golden-wall,"https://www.artic.edu/iiif/2/1fdbfe10-de4e-63a9-1bfd-04facf08d54d/full/600,/0/default.jpg",Hans Hofmann,1960
100,"Rodney Plogger at 6:01, from the series “Immediate Family”, 1989",1972,https://www.artic.edu/artworks/188727/rodney-plogger-at-6-01-from-the-series-immediate-family,"https://www.artic.edu/iiif/2/42acbefc-e734-6bd6-c3e4-38c35418cd80/full/600,/0/default.jpg",Sally Mann,1980
101,"Corpse and Mirror II, 1974/75",1972,https://www.artic.edu/artworks/118981/corpse-and-mirror-ii,"https://www.artic.edu/iiif/2/0b884b37-acec-7c15-5077-927bb991f69e/full/600,/0/default.jpg",Jasper Johns,1970
102,"Illumination, 1959",1959,https://www.artic.edu/artworks/11898/illumination,"https://www.artic.edu/iiif/2/8595c93e-186b-cf12-d7cb-a44096fe761d/full/600,/0/default.jpg",Richard Aberle Florsheim,1950
103,"A Face from Georgia, 1970–74",1972,https://www.artic.edu/artworks/93802/a-face-from-georgia,"https://www.artic.edu/iiif/2/5e8ff889-2138-0a5c-267e-c938169285cd/full/600,/0/default.jpg",Ivan Albright,1970
104,"Untitled (Painting), 1953/54",1972,https://www.artic.edu/artworks/82410/untitled-painting,"https://www.artic.edu/iiif/2/df0a03a4-be1c-3f8d-73b1-5941dca57bba/full/600,/0/default.jpg",Mark Rothko,1950
105,"CARVING: A Traditional Sculpture, 1972",1972,https://www.artic.edu/artworks/144356/carving-a-traditional-sculpture,"https://www.artic.edu/iiif/2/d42239f2-878e-f15e-e5fc-4a041eb4ab01/full/600,/0/default.jpg",Eleanor Antin,1970
106,"A Family One Evening In A Nudist Camp, Pennsylvania, 1965",1965,https://www.artic.edu/artworks/67964/a-family-one-evening-in-a-nudist-camp-pennsylvania,"https://www.artic.edu/iiif/2/258f04bb-8262-42b8-63ef-dfd55602bc49/full/600,/0/default.jpg",Diane Arbus,1960
107,"Glowing Tree, 1958",1958,https://www.artic.edu/artworks/9793/glowing-tree,"https://www.artic.edu/iiif/2/50f6d561-2e1c-fe5d-de13-e960fff566a2/full/600,/0/default.jpg",Gabor Peterdi,1950
108,"Oct. 31, 1978 (Today Series, “Tuesday”), 1978",1978,https://www.artic.edu/artworks/59646/oct-31-1978-today-series-tuesday,"https://www.artic.edu/iiif/2/8806d7fe-0e1d-128a-5e2b-67fbbdb009cb/full/600,/0/default.jpg",On Kawara,1970
109,"Untitled, 1982",1982,https://www.artic.edu/artworks/120746/untitled,"https://www.artic.edu/iiif/2/223e1e67-9ca7-2867-4e83-5958eb3e4a91/full/600,/0/default.jpg",Jock Sturges,1980
110,"Composition with Black and Gray, 1958",1958,https://www.artic.edu/artworks/10025/composition-with-black-and-gray,"https://www.artic.edu/iiif/2/f57a4835-8965-429b-db9a-dc689098eedc/full/600,/0/default.jpg",Claude Ronald Bentley,1950
111,"Venetian Domes, 1955",1955,https://www.artic.edu/artworks/11911/venetian-domes,"https://www.artic.edu/iiif/2/5fb05fcb-5afb-d8c1-62a5-fdc673efa37d/full/600,/0/default.jpg",Rudy Pozzatti,1950
112,"Sharecropper, 1952, printed 1970",1972,https://www.artic.edu/artworks/117319/sharecropper,"https://www.artic.edu/iiif/2/f3c68069-b982-886d-8c07-d4108732a58e/full/600,/0/default.jpg",Elizabeth Catlett,1950
113,"Nude under a Pine Tree, January 20, 1959",1959,https://www.artic.edu/artworks/23968/nude-under-a-pine-tree,"https://www.artic.edu/iiif/2/b7b7ecd0-5a50-b89a-c72a-d435a1957c73/full/600,/0/default.jpg",Pablo Picasso,1950
114,"Untitled, 1960",1960,https://www.artic.edu/artworks/13543/untitled,"https://www.artic.edu/iiif/2/e299fbb6-33bd-f6b5-aeee-d0f0a8fd455a/full/600,/0/default.jpg",James McGarrell,1960
